,Marital status,Sex,Age,Number of people,Year,Quarter
1094,Married/separated,Women,20-29 years,6457,2010,4
1095,Married/separated,Women,30-39 years,19829,2010,4
1096,Married/separated,Women,40-49 years,14553,2010,4
1097,Married/separated,Women,50-59 years,11764,2010,4
1098,Married/separated,Women,60-69 years,9507,2010,4
1099,Married/separated,Women,70-79 years,3551,2010,4
1100,Married/separated,Women,80-89 years,1173,2010,4
1101,Married/separated,Women,90-99 years,110,2010,4
1102,Married/separated,Women,100-109 years,0,2010,4
1103,Married/separated,Women,110 years +,0,2010,4
1104,Widowed,Men,0-9 years,0,2010,4
1105,Widowed,Men,10-19 years,0,2010,4
1106,Widowed,Men,20-29 years,0,2010,4
1107,Widowed,Men,30-39 years,47,2010,4
1108,Widowed,Men,40-49 years,119,2010,4
1109,Widowed,Men,50-59 years,322,2010,4
1110,Widowed,Men,60-69 years,778,2010,4
1111,Widowed,Men,70-79 years,1018,2010,4
1112,Widowed,Men,80-89 years,1139,2010,4
1113,Widowed,Men,90-99 years,344,2010,4
1114,Widowed,Men,100-109 years,5,2010,4
1115,Widowed,Men,110 years +,0,2010,4
1116,Widowed,Women,0-9 years,0,2010,4
1117,Widowed,Women,10-19 years,0,2010,4
1118,Widowed,Women,20-29 years,14,2010,4
1119,Widowed,Women,30-39 years,116,2010,4
1120,Widowed,Women,40-49 years,334,2010,4
1121,Widowed,Women,50-59 years,976,2010,4
1122,Widowed,Women,60-69 years,2512,2010,4
1123,Widowed,Women,70-79 years,4028,2010,4
1124,Widowed,Women,80-89 years,5169,2010,4
1125,Widowed,Women,90-99 years,2104,2010,4
1126,Widowed,Women,100-109 years,74,2010,4
1127,Widowed,Women,110 years +,0,2010,4
1128,Divorced,Men,0-9 years,0,2010,4
1129,Divorced,Men,10-19 years,0,2010,4
1130,Divorced,Men,20-29 years,231,2010,4
1131,Divorced,Men,30-39 years,2713,2010,4
1132,Divorced,Men,40-49 years,5449,2010,4
1133,Divorced,Men,50-59 years,5076,2010,4
1134,Divorced,Men,60-69 years,5159,2010,4
1135,Divorced,Men,70-79 years,2056,2010,4
1136,Divorced,Men,80-89 years,516,2010,4
1137,Divorced,Men,90-99 years,46,2010,4
1138,Divorced,Men,100-109 years,0,2010,4
1139,Divorced,Men,110 years +,0,2010,4
1140,Divorced,Women,0-9 years,0,2010,4
1141,Divorced,Women,10-19 years,0,2010,4
1142,Divorced,Women,20-29 years,500,2010,4
1143,Divorced,Women,30-39 years,3749,2010,4
1144,Divorced,Women,40-49 years,6073,2010,4
1145,Divorced,Women,50-59 years,6112,2010,4
1146,Divorced,Women,60-69 years,6889,2010,4
1147,Divorced,Women,70-79 years,3272,2010,4
1148,Divorced,Women,80-89 years,1457,2010,4
1149,Divorced,Women,90-99 years,356,2010,4
1150,Divorced,Women,100-109 years,8,2010,4
1151,Divorced,Women,110 years +,0,2010,4
1152,Never married,Men,0-9 years,31200,2011,1
1153,Never married,Men,10-19 years,21473,2011,1
1154,Never married,Men,20-29 years,55106,2011,1
1155,Never married,Men,30-39 years,36326,2011,1
1156,Never married,Men,40-49 years,15772,2011,1
1157,Never married,Men,50-59 years,8297,2011,1
1158,Never married,Men,60-69 years,3890,2011,1
1159,Never married,Men,70-79 years,1139,2011,1
1160,Never married,Men,80-89 years,337,2011,1
1161,Never married,Men,90-99 years,36,2011,1
1162,Never married,Men,100-109 years,0,2011,1
1163,Never married,Men,110 years +,0,2011,1
1164,Never married,Women,0-9 years,29741,2011,1
1165,Never married,Women,10-19 years,21409,2011,1
1166,Never married,Women,20-29 years,59528,2011,1
1167,Never married,Women,30-39 years,28596,2011,1
1168,Never married,Women,40-49 years,11322,2011,1
1169,Never married,Women,50-59 years,6136,2011,1
1170,Never married,Women,60-69 years,2946,2011,1
1171,Never married,Women,70-79 years,1081,2011,1
1172,Never married,Women,80-89 years,743,2011,1
1173,Never married,Women,90-99 years,253,2011,1
1174,Never married,Women,100-109 years,8,2011,1
1175,Never married,Women,110 years +,0,2011,1
1176,Married/separated,Men,0-9 years,0,2011,1
1177,Married/separated,Men,10-19 years,6,2011,1
1178,Married/separated,Men,20-29 years,3642,2011,1
1179,Married/separated,Men,30-39 years,18067,2011,1
1180,Married/separated,Men,40-49 years,16269,2011,1
1181,Married/separated,Men,50-59 years,12518,2011,1
1182,Married/separated,Men,60-69 years,11166,2011,1
1183,Married/separated,Men,70-79 years,4820,2011,1
1184,Married/separated,Men,80-89 years,1719,2011,1
1185,Married/separated,Men,90-99 years,206,2011,1
1186,Married/separated,Men,100-109 years,0,2011,1
1187,Married/separated,Men,110 years +,0,2011,1
1188,Married/separated,Women,0-9 years,0,2011,1
1189,Married/separated,Women,10-19 years,36,2011,1
1190,Married/separated,Women,20-29 years,6312,2011,1
1191,Married/separated,Women,30-39 years,19899,2011,1
1192,Married/separated,Women,40-49 years,14633,2011,1
1193,Married/separated,Women,50-59 years,11792,2011,1
1194,Married/separated,Women,60-69 years,9524,2011,1
1195,Married/separated,Women,70-79 years,3555,2011,1
1196,Married/separated,Women,80-89 years,1147,2011,1
1197,Married/separated,Women,90-99 years,111,2011,1
1198,Married/separated,Women,100-109 years,0,2011,1
1199,Married/separated,Women,110 years +,0,2011,1
1200,Widowed,Men,0-9 years,0,2011,1
1201,Widowed,Men,10-19 years,0,2011,1
1202,Widowed,Men,20-29 years,2,2011,1
1203,Widowed,Men,30-39 years,45,2011,1
1204,Widowed,Men,40-49 years,122,2011,1
1205,Widowed,Men,50-59 years,327,2011,1
1206,Widowed,Men,60-69 years,765,2011,1
1207,Widowed,Men,70-79 years,1010,2011,1
1208,Widowed,Men,80-89 years,1137,2011,1
1209,Widowed,Men,90-99 years,336,2011,1
1210,Widowed,Men,100-109 years,6,2011,1
1211,Widowed,Men,110 years +,0,2011,1
1212,Widowed,Women,0-9 years,0,2011,1
1213,Widowed,Women,10-19 years,0,2011,1
1214,Widowed,Women,20-29 years,10,2011,1
1215,Widowed,Women,30-39 years,116,2011,1
1216,Widowed,Women,40-49 years,340,2011,1
1217,Widowed,Women,50-59 years,987,2011,1
1218,Widowed,Women,60-69 years,2492,2011,1
1219,Widowed,Women,70-79 years,4019,2011,1
1220,Widowed,Women,80-89 years,5086,2011,1
1221,Widowed,Women,90-99 years,2088,2011,1
1222,Widowed,Women,100-109 years,75,2011,1
1223,Widowed,Women,110 years +,0,2011,1
1224,Divorced,Men,0-9 years,0,2011,1
1225,Divorced,Men,10-19 years,0,2011,1
1226,Divorced,Men,20-29 years,231,2011,1
1227,Divorced,Men,30-39 years,2686,2011,1
1228,Divorced,Men,40-49 years,5482,2011,1
1229,Divorced,Men,50-59 years,5098,2011,1
1230,Divorced,Men,60-69 years,5155,2011,1
1231,Divorced,Men,70-79 years,2079,2011,1
1232,Divorced,Men,80-89 years,514,2011,1
1233,Divorced,Men,90-99 years,44,2011,1
1234,Divorced,Men,100-109 years,0,2011,1
1235,Divorced,Men,110 years +,0,2011,1
1236,Divorced,Women,0-9 years,0,2011,1
1237,Divorced,Women,10-19 years,1,2011,1
1238,Divorced,Women,20-29 years,499,2011,1
1239,Divorced,Women,30-39 years,3715,2011,1
1240,Divorced,Women,40-49 years,6146,2011,1
1241,Divorced,Women,50-59 years,6093,2011,1
1242,Divorced,Women,60-69 years,6905,2011,1
1243,Divorced,Women,70-79 years,3350,2011,1
1244,Divorced,Women,80-89 years,1448,2011,1
1245,Divorced,Women,90-99 years,364,2011,1
1246,Divorced,Women,100-109 years,8,2011,1
1247,Divorced,Women,110 years +,0,2011,1
1248,Never married,Men,0-9 years,31477,2011,2
1249,Never married,Men,10-19 years,21552,2011,2
1250,Never married,Men,20-29 years,55307,2011,2
1251,Never married,Men,30-39 years,36595,2011,2
1252,Never married,Men,40-49 years,15873,2011,2
1253,Never married,Men,50-59 years,8345,2011,2
1254,Never married,Men,60-69 years,4005,2011,2
1255,Never married,Men,70-79 years,1156,2011,2
1256,Never married,Men,80-89 years,332,2011,2
1257,Never married,Men,90-99 years,34,2011,2
1258,Never married,Men,100-109 years,1,2011,2
1259,Never married,Men,110 years +,0,2011,2
1260,Never married,Women,0-9 years,29981,2011,2
1261,Never married,Women,10-19 years,21475,2011,2
1262,Never married,Women,20-29 years,59998,2011,2
1263,Never married,Women,30-39 years,28880,2011,2
1264,Never married,Women,40-49 years,11449,2011,2
1265,Never married,Women,50-59 years,6165,2011,2
1266,Never married,Women,60-69 years,3021,2011,2
1267,Never married,Women,70-79 years,1083,2011,2
1268,Never married,Women,80-89 years,733,2011,2
1269,Never married,Women,90-99 years,248,2011,2
1270,Never married,Women,100-109 years,7,2011,2
1271,Never married,Women,110 years +,0,2011,2
1272,Married/separated,Men,0-9 years,0,2011,2
1273,Married/separated,Men,10-19 years,6,2011,2
1274,Married/separated,Men,20-29 years,3538,2011,2
1275,Married/separated,Men,30-39 years,17855,2011,2
1276,Married/separated,Men,40-49 years,16257,2011,2
1277,Married/separated,Men,50-59 years,12558,2011,2
1278,Married/separated,Men,60-69 years,11227,2011,2
1279,Married/separated,Men,70-79 years,4840,2011,2
1280,Married/separated,Men,80-89 years,1707,2011,2
1281,Married/separated,Men,90-99 years,209,2011,2
1282,Married/separated,Men,100-109 years,0,2011,2
1283,Married/separated,Men,110 years +,0,2011,2
1284,Married/separated,Women,0-9 years,0,2011,2
1285,Married/separated,Women,10-19 years,30,2011,2
1286,Married/separated,Women,20-29 years,6161,2011,2
1287,Married/separated,Women,30-39 years,19728,2011,2
1288,Married/separated,Women,40-49 years,14667,2011,2
1289,Married/separated,Women,50-59 years,11766,2011,2
1290,Married/separated,Women,60-69 years,9585,2011,2
1291,Married/separated,Women,70-79 years,3603,2011,2
1292,Married/separated,Women,80-89 years,1146,2011,2
1293,Married/separated,Women,90-99 years,119,2011,2
1294,Married/separated,Women,100-109 years,0,2011,2
1295,Married/separated,Women,110 years +,0,2011,2
1296,Widowed,Men,0-9 years,0,2011,2
1297,Widowed,Men,10-19 years,0,2011,2
1298,Widowed,Men,20-29 years,2,2011,2
1299,Widowed,Men,30-39 years,46,2011,2
1300,Widowed,Men,40-49 years,126,2011,2
1301,Widowed,Men,50-59 years,313,2011,2
1302,Widowed,Men,60-69 years,770,2011,2
1303,Widowed,Men,70-79 years,1005,2011,2
1304,Widowed,Men,80-89 years,1107,2011,2
1305,Widowed,Men,90-99 years,341,2011,2
1306,Widowed,Men,100-109 years,5,2011,2
1307,Widowed,Men,110 years +,0,2011,2
1308,Widowed,Women,0-9 years,0,2011,2
1309,Widowed,Women,10-19 years,0,2011,2
1310,Widowed,Women,20-29 years,8,2011,2
1311,Widowed,Women,30-39 years,111,2011,2
1312,Widowed,Women,40-49 years,337,2011,2
1313,Widowed,Women,50-59 years,979,2011,2
1314,Widowed,Women,60-69 years,2488,2011,2
1315,Widowed,Women,70-79 years,3973,2011,2
1316,Widowed,Women,80-89 years,4990,2011,2
1317,Widowed,Women,90-99 years,2078,2011,2
1318,Widowed,Women,100-109 years,73,2011,2
1319,Widowed,Women,110 years +,0,2011,2
1320,Divorced,Men,0-9 years,0,2011,2
1321,Divorced,Men,10-19 years,0,2011,2
1322,Divorced,Men,20-29 years,223,2011,2
1323,Divorced,Men,30-39 years,2700,2011,2
1324,Divorced,Men,40-49 years,5555,2011,2
1325,Divorced,Men,50-59 years,5097,2011,2
1326,Divorced,Men,60-69 years,5196,2011,2
1327,Divorced,Men,70-79 years,2096,2011,2
1328,Divorced,Men,80-89 years,518,2011,2
1329,Divorced,Men,90-99 years,43,2011,2
1330,Divorced,Men,100-109 years,0,2011,2
1331,Divorced,Men,110 years +,0,2011,2
1332,Divorced,Women,0-9 years,0,2011,2
1333,Divorced,Women,10-19 years,2,2011,2
1334,Divorced,Women,20-29 years,476,2011,2
1335,Divorced,Women,30-39 years,3747,2011,2
1336,Divorced,Women,40-49 years,6208,2011,2
1337,Divorced,Women,50-59 years,6137,2011,2
1338,Divorced,Women,60-69 years,6906,2011,2
1339,Divorced,Women,70-79 years,3369,2011,2
1340,Divorced,Women,80-89 years,1442,2011,2
1341,Divorced,Women,90-99 years,366,2011,2
1342,Divorced,Women,100-109 years,7,2011,2
1343,Divorced,Women,110 years +,0,2011,2
1344,Never married,Men,0-9 years,31689,2011,3
1345,Never married,Men,10-19 years,21635,2011,3
1346,Never married,Men,20-29 years,54659,2011,3
1347,Never married,Men,30-39 years,36704,2011,3
1348,Never married,Men,40-49 years,16016,2011,3
1349,Never married,Men,50-59 years,8400,2011,3
1350,Never married,Men,60-69 years,4083,2011,3
1351,Never married,Men,70-79 years,1177,2011,3
1352,Never married,Men,80-89 years,331,2011,3
1353,Never married,Men,90-99 years,35,2011,3
1354,Never married,Men,100-109 years,1,2011,3
1355,Never married,Men,110 years +,0,2011,3
1356,Never married,Women,0-9 years,30221,2011,3
1357,Never married,Women,10-19 years,21466,2011,3
1358,Never married,Women,20-29 years,59260,2011,3
1359,Never married,Women,30-39 years,29004,2011,3
1360,Never married,Women,40-49 years,11583,2011,3
1361,Never married,Women,50-59 years,6206,2011,3
1362,Never married,Women,60-69 years,3075,2011,3
1363,Never married,Women,70-79 years,1092,2011,3
1364,Never married,Women,80-89 years,731,2011,3
1365,Never married,Women,90-99 years,251,2011,3
1366,Never married,Women,100-109 years,9,2011,3
1367,Never married,Women,110 years +,0,2011,3
1368,Married/separated,Men,0-9 years,0,2011,3
1369,Married/separated,Men,10-19 years,5,2011,3
1370,Married/separated,Men,20-29 years,3515,2011,3
1371,Married/separated,Men,30-39 years,18003,2011,3
1372,Married/separated,Men,40-49 years,16431,2011,3
1373,Married/separated,Men,50-59 years,12543,2011,3
1374,Married/separated,Men,60-69 years,11283,2011,3
1375,Married/separated,Men,70-79 years,4849,2011,3
1376,Married/separated,Men,80-89 years,1716,2011,3
1377,Married/separated,Men,90-99 years,197,2011,3
1378,Married/separated,Men,100-109 years,0,2011,3
1379,Married/separated,Men,110 years +,0,2011,3
1380,Married/separated,Women,0-9 years,0,2011,3
1381,Married/separated,Women,10-19 years,34,2011,3
1382,Married/separated,Women,20-29 years,6175,2011,3
1383,Married/separated,Women,30-39 years,19867,2011,3
1384,Married/separated,Women,40-49 years,14801,2011,3
1385,Married/separated,Women,50-59 years,11775,2011,3
1386,Married/separated,Women,60-69 years,9635,2011,3
1387,Married/separated,Women,70-79 years,3632,2011,3
1388,Married/separated,Women,80-89 years,1133,2011,3
1389,Married/separated,Women,90-99 years,119,2011,3
1390,Married/separated,Women,100-109 years,0,2011,3
1391,Married/separated,Women,110 years +,0,2011,3
1392,Widowed,Men,0-9 years,0,2011,3
1393,Widowed,Men,10-19 years,0,2011,3
1394,Widowed,Men,20-29 years,2,2011,3
1395,Widowed,Men,30-39 years,45,2011,3
1396,Widowed,Men,40-49 years,125,2011,3
1397,Widowed,Men,50-59 years,319,2011,3
1398,Widowed,Men,60-69 years,768,2011,3
1399,Widowed,Men,70-79 years,992,2011,3
1400,Widowed,Men,80-89 years,1091,2011,3
1401,Widowed,Men,90-99 years,353,2011,3
1402,Widowed,Men,100-109 years,5,2011,3
1403,Widowed,Men,110 years +,0,2011,3
1404,Widowed,Women,0-9 years,0,2011,3
1405,Widowed,Women,10-19 years,0,2011,3
1406,Widowed,Women,20-29 years,9,2011,3
1407,Widowed,Women,30-39 years,111,2011,3
1408,Widowed,Women,40-49 years,334,2011,3
1409,Widowed,Women,50-59 years,969,2011,3
1410,Widowed,Women,60-69 years,2489,2011,3
1411,Widowed,Women,70-79 years,3909,2011,3
1412,Widowed,Women,80-89 years,4928,2011,3
1413,Widowed,Women,90-99 years,2068,2011,3
1414,Widowed,Women,100-109 years,67,2011,3
1415,Widowed,Women,110 years +,0,2011,3
1416,Divorced,Men,0-9 years,0,2011,3
1417,Divorced,Men,10-19 years,0,2011,3
1418,Divorced,Men,20-29 years,215,2011,3
1419,Divorced,Men,30-39 years,2619,2011,3
1420,Divorced,Men,40-49 years,5575,2011,3
1421,Divorced,Men,50-59 years,5074,2011,3
1422,Divorced,Men,60-69 years,5202,2011,3
1423,Divorced,Men,70-79 years,2125,2011,3
1424,Divorced,Men,80-89 years,521,2011,3
1425,Divorced,Men,90-99 years,46,2011,3
1426,Divorced,Men,100-109 years,0,2011,3
1427,Divorced,Men,110 years +,0,2011,3
1428,Divorced,Women,0-9 years,0,2011,3
1429,Divorced,Women,10-19 years,1,2011,3
1430,Divorced,Women,20-29 years,464,2011,3
1431,Divorced,Women,30-39 years,3733,2011,3
1432,Divorced,Women,40-49 years,6218,2011,3
1433,Divorced,Women,50-59 years,6121,2011,3
1434,Divorced,Women,60-69 years,6937,2011,3
1435,Divorced,Women,70-79 years,3399,2011,3
1436,Divorced,Women,80-89 years,1444,2011,3
1437,Divorced,Women,90-99 years,362,2011,3
1438,Divorced,Women,100-109 years,8,2011,3
1439,Divorced,Women,110 years +,0,2011,3
1440,Never married,Men,0-9 years,31947,2011,4
1441,Never married,Men,10-19 years,22007,2011,4
1442,Never married,Men,20-29 years,56364,2011,4
1443,Never married,Men,30-39 years,36538,2011,4
1444,Never married,Men,40-49 years,16101,2011,4
1445,Never married,Men,50-59 years,8478,2011,4
1446,Never married,Men,60-69 years,4139,2011,4
1447,Never married,Men,70-79 years,1196,2011,4
1448,Never married,Men,80-89 years,324,2011,4
1449,Never married,Men,90-99 years,39,2011,4
1450,Never married,Men,100-109 years,1,2011,4
1451,Never married,Men,110 years +,0,2011,4
1452,Never married,Women,0-9 years,30427,2011,4
1453,Never married,Women,10-19 years,21952,2011,4
1454,Never married,Women,20-29 years,61474,2011,4
1455,Never married,Women,30-39 years,28875,2011,4
1456,Never married,Women,40-49 years,11658,2011,4
1457,Never married,Women,50-59 years,6288,2011,4
1458,Never married,Women,60-69 years,3143,2011,4
1459,Never married,Women,70-79 years,1098,2011,4
1460,Never married,Women,80-89 years,714,2011,4
1461,Never married,Women,90-99 years,256,2011,4
1462,Never married,Women,100-109 years,9,2011,4
1463,Never married,Women,110 years +,0,2011,4
1464,Married/separated,Men,0-9 years,0,2011,4
1465,Married/separated,Men,10-19 years,3,2011,4
1466,Married/separated,Men,20-29 years,3578,2011,4
1467,Married/separated,Men,30-39 years,18255,2011,4
1468,Married/separated,Men,40-49 years,16544,2011,4
1469,Married/separated,Men,50-59 years,12605,2011,4
1470,Married/separated,Men,60-69 years,11349,2011,4
1471,Married/separated,Men,70-79 years,4890,2011,4
1472,Married/separated,Men,80-89 years,1731,2011,4
1473,Married/separated,Men,90-99 years,197,2011,4
1474,Married/separated,Men,100-109 years,1,2011,4
1475,Married/separated,Men,110 years +,0,2011,4
1476,Married/separated,Women,0-9 years,0,2011,4
1477,Married/separated,Women,10-19 years,26,2011,4
1478,Married/separated,Women,20-29 years,6308,2011,4
1479,Married/separated,Women,30-39 years,20144,2011,4
1480,Married/separated,Women,40-49 years,14891,2011,4
1481,Married/separated,Women,50-59 years,11856,2011,4
1482,Married/separated,Women,60-69 years,9636,2011,4
1483,Married/separated,Women,70-79 years,3698,2011,4
1484,Married/separated,Women,80-89 years,1139,2011,4
1485,Married/separated,Women,90-99 years,114,2011,4
1486,Married/separated,Women,100-109 years,0,2011,4
1487,Married/separated,Women,110 years +,0,2011,4
1488,Widowed,Men,0-9 years,0,2011,4
1489,Widowed,Men,10-19 years,0,2011,4
1490,Widowed,Men,20-29 years,2,2011,4
1491,Widowed,Men,30-39 years,42,2011,4
1492,Widowed,Men,40-49 years,129,2011,4
1493,Widowed,Men,50-59 years,316,2011,4
1494,Widowed,Men,60-69 years,761,2011,4
1495,Widowed,Men,70-79 years,973,2011,4
1496,Widowed,Men,80-89 years,1074,2011,4
1497,Widowed,Men,90-99 years,365,2011,4
1498,Widowed,Men,100-109 years,5,2011,4
1499,Widowed,Men,110 years +,0,2011,4
1500,Widowed,Women,0-9 years,0,2011,4
1501,Widowed,Women,10-19 years,0,2011,4
1502,Widowed,Women,20-29 years,10,2011,4
1503,Widowed,Women,30-39 years,113,2011,4
1504,Widowed,Women,40-49 years,327,2011,4
1505,Widowed,Women,50-59 years,971,2011,4
1506,Widowed,Women,60-69 years,2476,2011,4
1507,Widowed,Women,70-79 years,3856,2011,4
1508,Widowed,Women,80-89 years,4831,2011,4
1509,Widowed,Women,90-99 years,2068,2011,4
1510,Widowed,Women,100-109 years,69,2011,4
1511,Widowed,Women,110 years +,0,2011,4
1512,Divorced,Men,0-9 years,0,2011,4
1513,Divorced,Men,10-19 years,0,2011,4
1514,Divorced,Men,20-29 years,215,2011,4
1515,Divorced,Men,30-39 years,2563,2011,4
1516,Divorced,Men,40-49 years,5552,2011,4
1517,Divorced,Men,50-59 years,5062,2011,4
1518,Divorced,Men,60-69 years,5202,2011,4
1519,Divorced,Men,70-79 years,2156,2011,4
1520,Divorced,Men,80-89 years,513,2011,4
1521,Divorced,Men,90-99 years,47,2011,4
1522,Divorced,Men,100-109 years,0,2011,4
1523,Divorced,Men,110 years +,0,2011,4
1524,Divorced,Women,0-9 years,0,2011,4
1525,Divorced,Women,10-19 years,1,2011,4
1526,Divorced,Women,20-29 years,449,2011,4
1527,Divorced,Women,30-39 years,3744,2011,4
1528,Divorced,Women,40-49 years,6195,2011,4
1529,Divorced,Women,50-59 years,6171,2011,4
1530,Divorced,Women,60-69 years,6955,2011,4
1531,Divorced,Women,70-79 years,3428,2011,4
1532,Divorced,Women,80-89 years,1437,2011,4
1533,Divorced,Women,90-99 years,363,2011,4
1534,Divorced,Women,100-109 years,9,2011,4
1535,Divorced,Women,110 years +,0,2011,4
1536,Never married,Men,0-9 years,32005,2012,1
1537,Never married,Men,10-19 years,22066,2012,1
1538,Never married,Men,20-29 years,56524,2012,1
1539,Never married,Men,30-39 years,36489,2012,1
1540,Never married,Men,40-49 years,16095,2012,1
1541,Never married,Men,50-59 years,8497,2012,1
1542,Never married,Men,60-69 years,4204,2012,1
1543,Never married,Men,70-79 years,1204,2012,1
1544,Never married,Men,80-89 years,319,2012,1
1545,Never married,Men,90-99 years,40,2012,1
1546,Never married,Men,100-109 years,1,2012,1
1547,Never married,Men,110 years +,0,2012,1
1548,Never married,Women,0-9 years,30673,2012,1
1549,Never married,Women,10-19 years,21882,2012,1
1550,Never married,Women,20-29 years,61766,2012,1
1551,Never married,Women,30-39 years,28842,2012,1
1552,Never married,Women,40-49 years,11772,2012,1
1553,Never married,Women,50-59 years,6335,2012,1
1554,Never married,Women,60-69 years,3190,2012,1
1555,Never married,Women,70-79 years,1106,2012,1
1556,Never married,Women,80-89 years,705,2012,1
1557,Never married,Women,90-99 years,253,2012,1
1558,Never married,Women,100-109 years,10,2012,1
1559,Never married,Women,110 years +,0,2012,1
1560,Married/separated,Men,0-9 years,0,2012,1
1561,Married/separated,Men,10-19 years,2,2012,1
1562,Married/separated,Men,20-29 years,3495,2012,1
1563,Married/separated,Men,30-39 years,18053,2012,1
1564,Married/separated,Men,40-49 years,16663,2012,1
1565,Married/separated,Men,50-59 years,12612,2012,1
1566,Married/separated,Men,60-69 years,11377,2012,1
1567,Married/separated,Men,70-79 years,4935,2012,1
1568,Married/separated,Men,80-89 years,1713,2012,1
1569,Married/separated,Men,90-99 years,199,2012,1
1570,Married/separated,Men,100-109 years,1,2012,1
1571,Married/separated,Men,110 years +,0,2012,1
1572,Married/separated,Women,0-9 years,0,2012,1
1573,Married/separated,Women,10-19 years,27,2012,1
1574,Married/separated,Women,20-29 years,6172,2012,1
1575,Married/separated,Women,30-39 years,20119,2012,1
1576,Married/separated,Women,40-49 years,14945,2012,1
1577,Married/separated,Women,50-59 years,11887,2012,1
1578,Married/separated,Women,60-69 years,9670,2012,1
1579,Married/separated,Women,70-79 years,3721,2012,1
1580,Married/separated,Women,80-89 years,1122,2012,1
1581,Married/separated,Women,90-99 years,113,2012,1
1582,Married/separated,Women,100-109 years,1,2012,1
1583,Married/separated,Women,110 years +,0,2012,1
1584,Widowed,Men,0-9 years,0,2012,1
1585,Widowed,Men,10-19 years,0,2012,1
1586,Widowed,Men,20-29 years,2,2012,1
1587,Widowed,Men,30-39 years,39,2012,1
1588,Widowed,Men,40-49 years,131,2012,1
1589,Widowed,Men,50-59 years,308,2012,1
1590,Widowed,Men,60-69 years,768,2012,1
1591,Widowed,Men,70-79 years,965,2012,1
1592,Widowed,Men,80-89 years,1059,2012,1
1593,Widowed,Men,90-99 years,367,2012,1
1594,Widowed,Men,100-109 years,4,2012,1
1595,Widowed,Men,110 years +,0,2012,1
1596,Widowed,Women,0-9 years,0,2012,1
1597,Widowed,Women,10-19 years,0,2012,1
1598,Widowed,Women,20-29 years,12,2012,1
1599,Widowed,Women,30-39 years,111,2012,1
1600,Widowed,Women,40-49 years,334,2012,1
1601,Widowed,Women,50-59 years,971,2012,1
1602,Widowed,Women,60-69 years,2466,2012,1
1603,Widowed,Women,70-79 years,3787,2012,1
1604,Widowed,Women,80-89 years,4758,2012,1
1605,Widowed,Women,90-99 years,2049,2012,1
1606,Widowed,Women,100-109 years,70,2012,1
1607,Widowed,Women,110 years +,0,2012,1
1608,Divorced,Men,0-9 years,0,2012,1
1609,Divorced,Men,10-19 years,0,2012,1
1610,Divorced,Men,20-29 years,218,2012,1
1611,Divorced,Men,30-39 years,2523,2012,1
1612,Divorced,Men,40-49 years,5547,2012,1
1613,Divorced,Men,50-59 years,5068,2012,1
1614,Divorced,Men,60-69 years,5190,2012,1
1615,Divorced,Men,70-79 years,2165,2012,1
1616,Divorced,Men,80-89 years,522,2012,1
1617,Divorced,Men,90-99 years,48,2012,1
1618,Divorced,Men,100-109 years,0,2012,1
1619,Divorced,Men,110 years +,0,2012,1
1620,Divorced,Women,0-9 years,0,2012,1
1621,Divorced,Women,10-19 years,2,2012,1
1622,Divorced,Women,20-29 years,451,2012,1
1623,Divorced,Women,30-39 years,3668,2012,1
1624,Divorced,Women,40-49 years,6252,2012,1
1625,Divorced,Women,50-59 years,6169,2012,1
1626,Divorced,Women,60-69 years,6968,2012,1
1627,Divorced,Women,70-79 years,3451,2012,1
1628,Divorced,Women,80-89 years,1430,2012,1
1629,Divorced,Women,90-99 years,363,2012,1
1630,Divorced,Women,100-109 years,9,2012,1
1631,Divorced,Women,110 years +,0,2012,1
1632,Never married,Men,0-9 years,32283,2012,2
1633,Never married,Men,10-19 years,22079,2012,2
1634,Never married,Men,20-29 years,57000,2012,2
1635,Never married,Men,30-39 years,36698,2012,2
1636,Never married,Men,40-49 years,16295,2012,2
1637,Never married,Men,50-59 years,8586,2012,2
1638,Never married,Men,60-69 years,4235,2012,2
1639,Never married,Men,70-79 years,1227,2012,2
1640,Never married,Men,80-89 years,316,2012,2
1641,Never married,Men,90-99 years,44,2012,2
1642,Never married,Men,100-109 years,1,2012,2
1643,Never married,Men,110 years +,0,2012,2
1644,Never married,Women,0-9 years,30912,2012,2
1645,Never married,Women,10-19 years,21840,2012,2
1646,Never married,Women,20-29 years,62584,2012,2
1647,Never married,Women,30-39 years,29236,2012,2
1648,Never married,Women,40-49 years,11904,2012,2
1649,Never married,Women,50-59 years,6421,2012,2
1650,Never married,Women,60-69 years,3258,2012,2
1651,Never married,Women,70-79 years,1123,2012,2
1652,Never married,Women,80-89 years,687,2012,2
1653,Never married,Women,90-99 years,255,2012,2
1654,Never married,Women,100-109 years,11,2012,2
1655,Never married,Women,110 years +,0,2012,2
1656,Married/separated,Men,0-9 years,0,2012,2
1657,Married/separated,Men,10-19 years,6,2012,2
1658,Married/separated,Men,20-29 years,3336,2012,2
1659,Married/separated,Men,30-39 years,17854,2012,2
1660,Married/separated,Men,40-49 years,16689,2012,2
1661,Married/separated,Men,50-59 years,12628,2012,2
1662,Married/separated,Men,60-69 years,11388,2012,2
1663,Married/separated,Men,70-79 years,5000,2012,2
1664,Married/separated,Men,80-89 years,1679,2012,2
1665,Married/separated,Men,90-99 years,208,2012,2
