citizenship	age	sex	district	1980Q1	1981Q1	1982Q1	1983Q1	1984Q1
Denmark	35-39 years	Men	Polling area - 9. Midt	84	77	81	76	80
Denmark	35-39 years	Men	Polling area - 9. Sydhavn	31	30	35	42	43
Denmark	35-39 years	Women	Copenhagen total	11563	12282	13099	13618	13819
Denmark	35-39 years	Women	District - Indre By	1370	1471	1584	1661	1669
Denmark	35-39 years	Women	District - Østerbro	1624	1786	1916	2009	2036
Denmark	35-39 years	Women	District - Nørrebro	1427	1497	1575	1601	1641
Denmark	35-39 years	Women	District - Vesterbro/Kongens Enghave	1063	1109	1165	1196	1228
Denmark	35-39 years	Women	District - Valby	1100	1197	1262	1306	1324
Denmark	35-39 years	Women	District - Vanløse	856	914	985	1033	1068
Denmark	35-39 years	Women	District - Brønshøj-Husum	1021	1088	1172	1204	1220
Denmark	35-39 years	Women	District - Bispebjerg	772	793	863	935	947
Denmark	35-39 years	Women	District - Amager Øst	1010	1088	1153	1250	1247
Denmark	35-39 years	Women	District - Amager Vest	1320	1339	1424	1423	1439
Denmark	35-39 years	Women	District - Unlocated	0	0	0	0	0
Denmark	35-39 years	Women	Polling area - 1. Østerbro	331	370	397	393	382
Denmark	35-39 years	Women	Polling area - 1. Øst	126	138	145	165	187
Denmark	35-39 years	Women	Polling area - 1. Nord	170	180	186	207	207
Denmark	35-39 years	Women	Polling area - 1. Syd	391	423	441	476	462
Denmark	35-39 years	Women	Polling area - 1. Vest	307	344	357	375	393
Denmark	35-39 years	Women	Polling area - 1. Nordvest	299	331	390	393	405
Denmark	35-39 years	Women	Polling area - 2. Sundbyvester	434	373	358	350	332
Denmark	35-39 years	Women	Polling area - 2. Nord	352	375	437	439	459
Denmark	35-39 years	Women	Polling area - 2. Syd	57	56	66	83	86
Denmark	35-39 years	Women	Polling area - 2. Øst	309	360	380	358	358
Denmark	35-39 years	Women	Polling area - 2. Vest	168	175	183	193	204
Denmark	35-39 years	Women	Polling area - 3. Indre By	377	418	436	456	467
Denmark	35-39 years	Women	Polling area - 3. Nord	278	298	305	312	319
Denmark	35-39 years	Women	Polling area - 3. Syd	258	281	323	350	352
Denmark	35-39 years	Women	Polling area - 3. Øst	457	474	520	543	531
Denmark	35-39 years	Women	Polling area - 4. Sundbyøster	227	228	233	255	250
Denmark	35-39 years	Women	Polling area - 4. Nord	293	325	338	376	370
Denmark	35-39 years	Women	Polling area - 4. Syd	238	261	280	295	309
Denmark	35-39 years	Women	Polling area - 4. Øst	252	274	302	324	318
Denmark	35-39 years	Women	Polling area - 5. Nørrebro	176	178	192	187	197
Denmark	35-39 years	Women	Polling area - 5. Nord	194	216	205	224	229
Denmark	35-39 years	Women	Polling area - 5. Nørrebrohallen	194	215	234	233	255
Denmark	35-39 years	Women	Polling area - 5. Syd	190	204	230	232	227
Denmark	35-39 years	Women	Polling area - 5. Øst	204	211	212	213	220
Denmark	35-39 years	Women	Polling area - 5. Vest	181	180	199	190	202
Denmark	35-39 years	Women	Polling area - 5. Nordvest	288	293	303	322	311
Denmark	35-39 years	Women	Polling area - 6. Bispebjerg	170	180	204	214	218
Denmark	35-39 years	Women	Polling area - 6. Vest	102	92	103	116	118
Denmark	35-39 years	Women	Polling area - 6. Nord	211	217	233	251	257
Denmark	35-39 years	Women	Polling area - 6. Øst	83	89	96	114	112
Denmark	35-39 years	Women	Polling area - 6. Syd	206	215	227	240	242
Denmark	35-39 years	Women	Polling area - 7. Brønshøj	143	165	188	188	201
Denmark	35-39 years	Women	Polling area - 7. Nord	245	253	270	259	235
Denmark	35-39 years	Women	Polling area - 7. Syd	184	185	197	223	225
Denmark	35-39 years	Women	Polling area - 7. Øst	252	276	290	294	295
Denmark	35-39 years	Women	Polling area - 7. Vest	158	177	181	189	192
Denmark	35-39 years	Women	Polling area - 7. Nordvest	312	312	337	374	397
Denmark	35-39 years	Women	Polling area - 7. Katrinedal	92	88	97	108	107
Denmark	35-39 years	Women	Polling area - 7. Kirkebjerg	189	218	253	261	278
Denmark	35-39 years	Women	Polling area - 7. Vanløse	302	328	344	341	358
Denmark	35-39 years	Women	Polling area - 8. Valby	251	271	303	305	318
Denmark	35-39 years	Women	Polling area - 8. Nord	191	216	236	250	252
Denmark	35-39 years	Women	Polling area - 8. Syd	136	141	139	150	150
Denmark	35-39 years	Women	Polling area - 8. Vest	235	252	251	264	262
Denmark	35-39 years	Women	Polling area - 8. Sydøst	185	209	219	223	212
Denmark	35-39 years	Women	Polling area - 8. Midt	102	108	114	114	130
Denmark	35-39 years	Women	Polling area - 9. Vesterbro	190	203	197	202	192
Denmark	35-39 years	Women	Polling area - 9. Nord	211	217	218	217	222
Denmark	35-39 years	Women	Polling area - 9. Syd	262	250	258	273	280
Denmark	35-39 years	Women	Polling area - 9. Øst	155	166	189	199	202
Denmark	35-39 years	Women	Polling area - 9. Vest	159	180	200	211	228
Denmark	35-39 years	Women	Polling area - 9. Midt	58	59	69	59	64
Denmark	35-39 years	Women	Polling area - 9. Sydhavn	28	34	34	35	40
Denmark	40-44 years	Men	Copenhagen total	10447	10512	10767	11323	11954
Denmark	40-44 years	Men	District - Indre By	1089	1099	1118	1230	1330
Denmark	40-44 years	Men	District - Østerbro	1214	1224	1292	1409	1542
Denmark	40-44 years	Men	District - Nørrebro	1482	1414	1459	1506	1514
Denmark	40-44 years	Men	District - Vesterbro/Kongens Enghave	1237	1238	1339	1355	1409
Denmark	40-44 years	Men	District - Valby	943	945	979	1028	1083
Denmark	40-44 years	Men	District - Vanløse	724	768	766	808	828
Denmark	40-44 years	Men	District - Brønshøj-Husum	868	884	882	904	927
Denmark	40-44 years	Men	District - Bispebjerg	759	758	758	816	916
Denmark	40-44 years	Men	District - Amager Øst	952	961	995	1027	1075
Denmark	40-44 years	Men	District - Amager Vest	1179	1221	1179	1240	1330
Denmark	40-44 years	Men	District - Unlocated	0	0	0	0	0
Denmark	40-44 years	Men	Polling area - 1. Østerbro	286	277	290	301	363
Denmark	40-44 years	Men	Polling area - 1. Øst	112	108	105	119	128
Denmark	40-44 years	Men	Polling area - 1. Nord	138	129	130	140	145
Denmark	40-44 years	Men	Polling area - 1. Syd	299	323	320	347	350
Denmark	40-44 years	Men	Polling area - 1. Vest	201	208	241	258	284
Denmark	40-44 years	Men	Polling area - 1. Nordvest	178	179	206	244	272
Denmark	40-44 years	Men	Polling area - 2. Sundbyvester	289	275	269	292	298
Denmark	40-44 years	Men	Polling area - 2. Nord	338	333	319	338	371
Denmark	40-44 years	Men	Polling area - 2. Syd	145	161	136	135	151
Denmark	40-44 years	Men	Polling area - 2. Øst	250	287	269	291	300
Denmark	40-44 years	Men	Polling area - 2. Vest	157	165	186	184	210
Denmark	40-44 years	Men	Polling area - 3. Indre By	317	320	322	366	412
Denmark	40-44 years	Men	Polling area - 3. Nord	198	203	210	228	242
Denmark	40-44 years	Men	Polling area - 3. Syd	172	174	184	219	254
Denmark	40-44 years	Men	Polling area - 3. Øst	402	402	402	417	422
Denmark	40-44 years	Men	Polling area - 4. Sundbyøster	229	225	238	222	251
Denmark	40-44 years	Men	Polling area - 4. Nord	303	301	311	319	335
Denmark	40-44 years	Men	Polling area - 4. Syd	204	220	216	242	244
Denmark	40-44 years	Men	Polling area - 4. Øst	216	215	230	244	245
Denmark	40-44 years	Men	Polling area - 5. Nørrebro	167	162	188	190	194
Denmark	40-44 years	Men	Polling area - 5. Nord	213	182	188	191	210
Denmark	40-44 years	Men	Polling area - 5. Nørrebrohallen	206	207	200	212	217
Denmark	40-44 years	Men	Polling area - 5. Syd	192	175	156	159	165
Denmark	40-44 years	Men	Polling area - 5. Øst	205	211	224	233	212
Denmark	40-44 years	Men	Polling area - 5. Vest	195	181	193	188	182
Denmark	40-44 years	Men	Polling area - 5. Nordvest	304	296	310	333	334
Denmark	40-44 years	Men	Polling area - 6. Bispebjerg	171	167	165	172	195
Denmark	40-44 years	Men	Polling area - 6. Vest	113	110	114	131	145
Denmark	40-44 years	Men	Polling area - 6. Nord	186	188	198	203	220
Denmark	40-44 years	Men	Polling area - 6. Øst	62	59	56	68	72
Denmark	40-44 years	Men	Polling area - 6. Syd	227	234	225	242	284
Denmark	40-44 years	Men	Polling area - 7. Brønshøj	126	134	131	128	129
Denmark	40-44 years	Men	Polling area - 7. Nord	149	150	152	160	144
Denmark	40-44 years	Men	Polling area - 7. Syd	176	187	184	179	179
Denmark	40-44 years	Men	Polling area - 7. Øst	183	194	208	214	217
Denmark	40-44 years	Men	Polling area - 7. Vest	164	163	160	169	170
Denmark	40-44 years	Men	Polling area - 7. Nordvest	305	304	290	305	332
Denmark	40-44 years	Men	Polling area - 7. Katrinedal	84	84	86	91	104
Denmark	40-44 years	Men	Polling area - 7. Kirkebjerg	165	181	191	214	212
Denmark	40-44 years	Men	Polling area - 7. Vanløse	240	255	246	252	268
Denmark	40-44 years	Men	Polling area - 8. Valby	209	226	222	251	255
Denmark	40-44 years	Men	Polling area - 8. Nord	171	176	183	207	202
Denmark	40-44 years	Men	Polling area - 8. Syd	118	111	110	115	143
Denmark	40-44 years	Men	Polling area - 8. Vest	189	186	204	186	184
Denmark	40-44 years	Men	Polling area - 8. Sydøst	151	132	132	142	160
Denmark	40-44 years	Men	Polling area - 8. Midt	105	114	128	127	139
Denmark	40-44 years	Men	Polling area - 9. Vesterbro	192	199	224	251	249
Denmark	40-44 years	Men	Polling area - 9. Nord	292	278	278	284	285
Denmark	40-44 years	Men	Polling area - 9. Syd	191	199	222	212	246
Denmark	40-44 years	Men	Polling area - 9. Øst	269	254	299	292	289
Denmark	40-44 years	Men	Polling area - 9. Vest	200	205	209	207	233
Denmark	40-44 years	Men	Polling area - 9. Midt	68	78	82	84	86
Denmark	40-44 years	Men	Polling area - 9. Sydhavn	25	25	25	25	21
Denmark	40-44 years	Women	Copenhagen total	9791	9714	9815	10126	10563
Denmark	40-44 years	Women	District - Indre By	999	1014	1027	1090	1210
Denmark	40-44 years	Women	District - Østerbro	1233	1203	1282	1330	1442
Denmark	40-44 years	Women	District - Nørrebro	1222	1175	1175	1194	1234
Denmark	40-44 years	Women	District - Vesterbro/Kongens Enghave	915	912	895	931	968
Denmark	40-44 years	Women	District - Valby	1022	997	964	979	990
Denmark	40-44 years	Women	District - Vanløse	727	725	756	790	818
Denmark	40-44 years	Women	District - Brønshøj-Husum	954	927	897	902	942
Denmark	40-44 years	Women	District - Bispebjerg	751	758	739	780	783
Denmark	40-44 years	Women	District - Amager Øst	893	897	932	928	941
Denmark	40-44 years	Women	District - Amager Vest	1075	1106	1148	1202	1235
Denmark	40-44 years	Women	District - Unlocated	0	0	0	0	0
Denmark	40-44 years	Women	Polling area - 1. Østerbro	254	245	255	285	300
Denmark	40-44 years	Women	Polling area - 1. Øst	114	106	109	106	124
Denmark	40-44 years	Women	Polling area - 1. Nord	145	150	163	162	170
Denmark	40-44 years	Women	Polling area - 1. Syd	271	263	297	304	320
Denmark	40-44 years	Women	Polling area - 1. Vest	234	219	237	254	273
Denmark	40-44 years	Women	Polling area - 1. Nordvest	215	220	221	219	255
Denmark	40-44 years	Women	Polling area - 2. Sundbyvester	333	327	340	359	367
Denmark	40-44 years	Women	Polling area - 2. Nord	292	265	288	322	323
Denmark	40-44 years	Women	Polling area - 2. Syd	51	56	57	67	67
Denmark	40-44 years	Women	Polling area - 2. Øst	259	314	318	314	327
Denmark	40-44 years	Women	Polling area - 2. Vest	140	144	145	140	151
Denmark	40-44 years	Women	Polling area - 3. Indre By	301	277	309	319	347
Denmark	40-44 years	Women	Polling area - 3. Nord	174	181	208	224	246
Denmark	40-44 years	Women	Polling area - 3. Syd	156	160	157	180	217
Denmark	40-44 years	Women	Polling area - 3. Øst	368	396	353	367	400
Denmark	40-44 years	Women	Polling area - 4. Sundbyøster	184	203	216	205	212
Denmark	40-44 years	Women	Polling area - 4. Nord	264	270	285	292	281
Denmark	40-44 years	Women	Polling area - 4. Syd	206	194	192	191	203
Denmark	40-44 years	Women	Polling area - 4. Øst	239	230	239	240	245
Denmark	40-44 years	Women	Polling area - 5. Nørrebro	137	147	135	147	159
Denmark	40-44 years	Women	Polling area - 5. Nord	181	162	157	160	184
Denmark	40-44 years	Women	Polling area - 5. Nørrebrohallen	202	188	183	175	160
Denmark	40-44 years	Women	Polling area - 5. Syd	122	111	115	143	151
Denmark	40-44 years	Women	Polling area - 5. Øst	152	144	157	155	162
Denmark	40-44 years	Women	Polling area - 5. Vest	160	168	170	175	170
Denmark	40-44 years	Women	Polling area - 5. Nordvest	268	255	258	239	248
Denmark	40-44 years	Women	Polling area - 6. Bispebjerg	190	191	172	179	173
Denmark	40-44 years	Women	Polling area - 6. Vest	122	114	112	118	119
Denmark	40-44 years	Women	Polling area - 6. Nord	194	196	210	221	221
Denmark	40-44 years	Women	Polling area - 6. Øst	72	77	74	87	101
Denmark	40-44 years	Women	Polling area - 6. Syd	173	180	171	175	169
Denmark	40-44 years	Women	Polling area - 7. Brønshøj	115	106	107	126	127
Denmark	40-44 years	Women	Polling area - 7. Nord	202	186	175	172	185
Denmark	40-44 years	Women	Polling area - 7. Syd	188	190	193	188	189
Denmark	40-44 years	Women	Polling area - 7. Øst	194	202	216	229	239
Denmark	40-44 years	Women	Polling area - 7. Vest	171	160	152	150	154
Denmark	40-44 years	Women	Polling area - 7. Nordvest	343	331	307	297	315
Denmark	40-44 years	Women	Polling area - 7. Katrinedal	80	73	80	78	82
Denmark	40-44 years	Women	Polling area - 7. Kirkebjerg	144	147	153	172	179
Denmark	40-44 years	Women	Polling area - 7. Vanløse	244	257	270	280	290
Denmark	40-44 years	Women	Polling area - 8. Valby	206	214	211	225	221
Denmark	40-44 years	Women	Polling area - 8. Nord	178	171	185	186	189
Denmark	40-44 years	Women	Polling area - 8. Syd	155	135	136	124	125
Denmark	40-44 years	Women	Polling area - 8. Vest	202	207	203	209	208
Denmark	40-44 years	Women	Polling area - 8. Sydøst	162	155	138	144	154
Denmark	40-44 years	Women	Polling area - 8. Midt	119	115	91	91	93
Denmark	40-44 years	Women	Polling area - 9. Vesterbro	161	148	150	162	163
Denmark	40-44 years	Women	Polling area - 9. Nord	169	179	176	174	178
Denmark	40-44 years	Women	Polling area - 9. Syd	210	218	217	216	217
Denmark	40-44 years	Women	Polling area - 9. Øst	151	155	136	137	154
Denmark	40-44 years	Women	Polling area - 9. Vest	146	146	148	158	156
Denmark	40-44 years	Women	Polling area - 9. Midt	47	45	44	57	70
Denmark	40-44 years	Women	Polling area - 9. Sydhavn	31	21	24	27	30
Denmark	45-49 years	Men	Copenhagen total	10496	10275	10030	9960	9985
Denmark	45-49 years	Men	District - Indre By	1011	970	975	966	987
Denmark	45-49 years	Men	District - Østerbro	1269	1240	1192	1176	1160
Denmark	45-49 years	Men	District - Nørrebro	1403	1382	1265	1299	1312
Denmark	45-49 years	Men	District - Vesterbro/Kongens Enghave	1255	1178	1146	1153	1166
Denmark	45-49 years	Men	District - Valby	1048	1022	1012	942	959
Denmark	45-49 years	Men	District - Vanløse	681	672	690	684	686
Denmark	45-49 years	Men	District - Brønshøj-Husum	913	904	842	827	827
Denmark	45-49 years	Men	District - Bispebjerg	861	858	867	868	804
Denmark	45-49 years	Men	District - Amager Øst	976	939	951	946	985
Denmark	45-49 years	Men	District - Amager Vest	1079	1110	1090	1099	1099
Denmark	45-49 years	Men	District - Unlocated	0	0	0	0	0
Denmark	45-49 years	Men	Polling area - 1. Østerbro	262	251	248	236	251
Denmark	45-49 years	Men	Polling area - 1. Øst	138	137	126	117	103
Denmark	45-49 years	Men	Polling area - 1. Nord	139	140	135	145	139
Denmark	45-49 years	Men	Polling area - 1. Syd	315	304	290	271	260
Denmark	45-49 years	Men	Polling area - 1. Vest	217	218	212	239	223
Denmark	45-49 years	Men	Polling area - 1. Nordvest	198	190	181	168	184
Denmark	45-49 years	Men	Polling area - 2. Sundbyvester	284	262	246	248	248
Denmark	45-49 years	Men	Polling area - 2. Nord	314	325	321	322	305
Denmark	45-49 years	Men	Polling area - 2. Syd	117	131	115	133	125
Denmark	45-49 years	Men	Polling area - 2. Øst	222	251	247	236	254
Denmark	45-49 years	Men	Polling area - 2. Vest	142	141	161	160	167
Denmark	45-49 years	Men	Polling area - 3. Indre By	293	276	290	274	262
Denmark	45-49 years	Men	Polling area - 3. Nord	175	173	164	164	188
Denmark	45-49 years	Men	Polling area - 3. Syd	161	157	159	159	169
Denmark	45-49 years	Men	Polling area - 3. Øst	382	364	362	369	368
Denmark	45-49 years	Men	Polling area - 4. Sundbyøster	245	241	240	238	219
Denmark	45-49 years	Men	Polling area - 4. Nord	294	283	298	300	313
Denmark	45-49 years	Men	Polling area - 4. Syd	219	206	197	196	219
Denmark	45-49 years	Men	Polling area - 4. Øst	218	209	216	212	234
Denmark	45-49 years	Men	Polling area - 5. Nørrebro	214	216	185	171	162
Denmark	45-49 years	Men	Polling area - 5. Nord	223	220	198	204	185
Denmark	45-49 years	Men	Polling area - 5. Nørrebrohallen	182	173	156	162	159
Denmark	45-49 years	Men	Polling area - 5. Syd	176	148	138	136	140
Denmark	45-49 years	Men	Polling area - 5. Øst	160	172	156	169	172
Denmark	45-49 years	Men	Polling area - 5. Vest	164	170	160	167	176
Denmark	45-49 years	Men	Polling area - 5. Nordvest	284	283	272	290	318
Denmark	45-49 years	Men	Polling area - 6. Bispebjerg	207	219	208	202	187
Denmark	45-49 years	Men	Polling area - 6. Vest	153	150	154	145	129
Denmark	45-49 years	Men	Polling area - 6. Nord	189	189	202	209	202
Denmark	45-49 years	Men	Polling area - 6. Øst	81	70	67	68	68
Denmark	45-49 years	Men	Polling area - 6. Syd	231	230	236	244	218
Denmark	45-49 years	Men	Polling area - 7. Brønshøj	107	104	112	117	130
Denmark	45-49 years	Men	Polling area - 7. Nord	155	151	136	121	103
Denmark	45-49 years	Men	Polling area - 7. Syd	169	176	168	178	175
Denmark	45-49 years	Men	Polling area - 7. Øst	232	206	181	176	190
Denmark	45-49 years	Men	Polling area - 7. Vest	149	162	155	154	160
Denmark	45-49 years	Men	Polling area - 7. Nordvest	337	344	327	318	306
Denmark	45-49 years	Men	Polling area - 7. Katrinedal	81	82	90	88	79
Denmark	45-49 years	Men	Polling area - 7. Kirkebjerg	135	134	136	138	143
Denmark	45-49 years	Men	Polling area - 7. Vanløse	229	217	227	221	227
Denmark	45-49 years	Men	Polling area - 8. Valby	212	208	220	204	221
Denmark	45-49 years	Men	Polling area - 8. Nord	172	170	165	150	165
Denmark	45-49 years	Men	Polling area - 8. Syd	190	165	151	135	130
Denmark	45-49 years	Men	Polling area - 8. Vest	174	177	171	169	165
Denmark	45-49 years	Men	Polling area - 8. Sydøst	184	178	186	171	155
Denmark	45-49 years	Men	Polling area - 8. Midt	116	124	119	113	123
Denmark	45-49 years	Men	Polling area - 9. Vesterbro	197	191	193	183	184
Denmark	45-49 years	Men	Polling area - 9. Nord	283	270	254	248	264
Denmark	45-49 years	Men	Polling area - 9. Syd	220	199	192	210	205
Denmark	45-49 years	Men	Polling area - 9. Øst	253	232	227	224	221
Denmark	45-49 years	Men	Polling area - 9. Vest	199	187	168	182	172
Denmark	45-49 years	Men	Polling area - 9. Midt	80	75	88	84	90
Denmark	45-49 years	Men	Polling area - 9. Sydhavn	23	24	24	22	30
Denmark	45-49 years	Women	Copenhagen total	11009	10606	10270	9993	9812
Denmark	45-49 years	Women	District - Indre By	957	941	948	988	1021
Denmark	45-49 years	Women	District - Østerbro	1303	1320	1295	1278	1256
Denmark	45-49 years	Women	District - Nørrebro	1347	1285	1219	1147	1125
Denmark	45-49 years	Women	District - Vesterbro/Kongens Enghave	1060	986	947	898	892
Denmark	45-49 years	Women	District - Valby	1199	1144	1117	1090	1041
Denmark	45-49 years	Women	District - Vanløse	854	825	754	748	736
Denmark	45-49 years	Women	District - Brønshøj-Husum	1132	1088	1065	1000	938
Denmark	45-49 years	Women	District - Bispebjerg	1036	959	916	839	803
Denmark	45-49 years	Women	District - Amager Øst	1079	1010	951	907	904
Denmark	45-49 years	Women	District - Amager Vest	1042	1048	1058	1098	1096
Denmark	45-49 years	Women	District - Unlocated	0	0	0	0	0
Denmark	45-49 years	Women	Polling area - 1. Østerbro	246	248	247	234	243
Denmark	45-49 years	Women	Polling area - 1. Øst	133	132	133	126	116
Denmark	45-49 years	Women	Polling area - 1. Nord	181	173	164	157	152
Denmark	45-49 years	Women	Polling area - 1. Syd	283	299	275	258	263
Denmark	45-49 years	Women	Polling area - 1. Vest	232	250	249	267	259
Denmark	45-49 years	Women	Polling area - 1. Nordvest	228	218	227	236	223
Denmark	45-49 years	Women	Polling area - 2. Sundbyvester	318	295	301	303	307
Denmark	45-49 years	Women	Polling area - 2. Nord	318	341	338	339	321
Denmark	45-49 years	Women	Polling area - 2. Syd	60	54	54	58	61
Denmark	45-49 years	Women	Polling area - 2. Øst	205	227	230	251	261
Denmark	45-49 years	Women	Polling area - 2. Vest	141	131	135	147	146
Denmark	45-49 years	Women	Polling area - 3. Indre By	247	259	263	278	299
Denmark	45-49 years	Women	Polling area - 3. Nord	198	185	178	181	181
Denmark	45-49 years	Women	Polling area - 3. Syd	137	147	147	137	152
Denmark	45-49 years	Women	Polling area - 3. Øst	375	350	360	392	389
Denmark	45-49 years	Women	Polling area - 4. Sundbyøster	251	241	223	224	203
Denmark	45-49 years	Women	Polling area - 4. Nord	335	311	276	251	277
Denmark	45-49 years	Women	Polling area - 4. Syd	228	219	223	213	204
Denmark	45-49 years	Women	Polling area - 4. Øst	265	239	229	219	220
Denmark	45-49 years	Women	Polling area - 5. Nørrebro	172	157	161	157	140
Denmark	45-49 years	Women	Polling area - 5. Nord	186	188	176	164	155
Denmark	45-49 years	Women	Polling area - 5. Nørrebrohallen	224	217	198	184	190
Denmark	45-49 years	Women	Polling area - 5. Syd	147	139	133	115	112
Denmark	45-49 years	Women	Polling area - 5. Øst	160	142	135	136	131
Denmark	45-49 years	Women	Polling area - 5. Vest	190	179	167	149	153
Denmark	45-49 years	Women	Polling area - 5. Nordvest	268	263	249	242	244
Denmark	45-49 years	Women	Polling area - 6. Bispebjerg	282	271	240	217	202
Denmark	45-49 years	Women	Polling area - 6. Vest	167	151	138	134	131
Denmark	45-49 years	Women	Polling area - 6. Nord	242	227	219	193	190
Denmark	45-49 years	Women	Polling area - 6. Øst	110	94	92	85	83
Denmark	45-49 years	Women	Polling area - 6. Syd	235	216	227	210	197
Denmark	45-49 years	Women	Polling area - 7. Brønshøj	108	107	112	101	107
Denmark	45-49 years	Women	Polling area - 7. Nord	187	202	201	193	161
Denmark	45-49 years	Women	Polling area - 7. Syd	228	210	187	195	200
Denmark	45-49 years	Women	Polling area - 7. Øst	318	277	256	235	223
Denmark	45-49 years	Women	Polling area - 7. Vest	203	192	189	184	184
Denmark	45-49 years	Women	Polling area - 7. Nordvest	383	375	381	355	327
Denmark	45-49 years	Women	Polling area - 7. Katrinedal	120	112	91	93	83
Denmark	45-49 years	Women	Polling area - 7. Kirkebjerg	162	158	143	147	136
Denmark	45-49 years	Women	Polling area - 7. Vanløse	277	280	259	245	253
Denmark	45-49 years	Women	Polling area - 8. Valby	211	209	205	207	203
Denmark	45-49 years	Women	Polling area - 8. Nord	187	184	182	188	198
Denmark	45-49 years	Women	Polling area - 8. Syd	248	239	214	203	165
Denmark	45-49 years	Women	Polling area - 8. Vest	219	201	210	200	196
Denmark	45-49 years	Women	Polling area - 8. Sydøst	198	180	171	172	158
Denmark	45-49 years	Women	Polling area - 8. Midt	136	131	135	120	121
Denmark	45-49 years	Women	Polling area - 9. Vesterbro	196	179	172	167	152
Denmark	45-49 years	Women	Polling area - 9. Nord	218	190	183	171	180
Denmark	45-49 years	Women	Polling area - 9. Syd	245	239	232	221	223
Denmark	45-49 years	Women	Polling area - 9. Øst	135	130	137	128	127
Denmark	45-49 years	Women	Polling area - 9. Vest	168	150	140	142	140
Denmark	45-49 years	Women	Polling area - 9. Midt	74	69	55	46	47
Denmark	45-49 years	Women	Polling area - 9. Sydhavn	24	29	28	23	23
Denmark	50-54 years	Men	Copenhagen total	12036	11538	11055	10572	10142
Denmark	50-54 years	Men	District - Indre By	1075	1065	1001	950	896
Denmark	50-54 years	Men	District - Østerbro	1399	1353	1300	1263	1226
Denmark	50-54 years	Men	District - Nørrebro	1478	1420	1394	1302	1276
Denmark	50-54 years	Men	District - Vesterbro/Kongens Enghave	1471	1369	1264	1198	1149
Denmark	50-54 years	Men	District - Valby	1213	1176	1107	1085	1022
Denmark	50-54 years	Men	District - Vanløse	835	775	750	700	672
Denmark	50-54 years	Men	District - Brønshøj-Husum	1168	1114	1088	1040	969
Denmark	50-54 years	Men	District - Bispebjerg	1092	1031	970	924	919
Denmark	50-54 years	Men	District - Amager Øst	1186	1157	1102	1054	976
Denmark	50-54 years	Men	District - Amager Vest	1119	1078	1079	1056	1037
Denmark	50-54 years	Men	District - Unlocated	0	0	0	0	0
Denmark	50-54 years	Men	Polling area - 1. Østerbro	279	269	261	262	236
Denmark	50-54 years	Men	Polling area - 1. Øst	126	110	111	124	124
Denmark	50-54 years	Men	Polling area - 1. Nord	174	170	162	148	145
Denmark	50-54 years	Men	Polling area - 1. Syd	325	327	306	288	277
Denmark	50-54 years	Men	Polling area - 1. Vest	240	242	231	223	238
Denmark	50-54 years	Men	Polling area - 1. Nordvest	255	235	229	218	206
Denmark	50-54 years	Men	Polling area - 2. Sundbyvester	274	250	246	239	237
Denmark	50-54 years	Men	Polling area - 2. Nord	350	337	337	321	309
Denmark	50-54 years	Men	Polling area - 2. Syd	122	111	120	115	113
Denmark	50-54 years	Men	Polling area - 2. Øst	226	234	235	234	227
Denmark	50-54 years	Men	Polling area - 2. Vest	147	146	141	147	151
Denmark	50-54 years	Men	Polling area - 3. Indre By	318	320	297	261	252
Denmark	50-54 years	Men	Polling area - 3. Nord	194	185	152	160	159
Denmark	50-54 years	Men	Polling area - 3. Syd	153	152	149	146	153
Denmark	50-54 years	Men	Polling area - 3. Øst	410	408	403	383	332
Denmark	50-54 years	Men	Polling area - 4. Sundbyøster	289	280	259	262	260
Denmark	50-54 years	Men	Polling area - 4. Nord	378	367	353	321	283
Denmark	50-54 years	Men	Polling area - 4. Syd	242	235	248	242	221
Denmark	50-54 years	Men	Polling area - 4. Øst	277	275	242	229	212
Denmark	50-54 years	Men	Polling area - 5. Nørrebro	226	194	200	180	185
Denmark	50-54 years	Men	Polling area - 5. Nord	197	208	208	198	189
Denmark	50-54 years	Men	Polling area - 5. Nørrebrohallen	207	204	213	194	182
Denmark	50-54 years	Men	Polling area - 5. Syd	162	150	148	125	121
Denmark	50-54 years	Men	Polling area - 5. Øst	176	172	161	144	140
Denmark	50-54 years	Men	Polling area - 5. Vest	204	183	172	172	165
Denmark	50-54 years	Men	Polling area - 5. Nordvest	306	309	292	289	294
Denmark	50-54 years	Men	Polling area - 6. Bispebjerg	256	242	218	210	212
Denmark	50-54 years	Men	Polling area - 6. Vest	195	172	169	163	164
Denmark	50-54 years	Men	Polling area - 6. Nord	247	240	226	206	203
Denmark	50-54 years	Men	Polling area - 6. Øst	115	103	95	89	90
Denmark	50-54 years	Men	Polling area - 6. Syd	279	274	262	256	250
Denmark	50-54 years	Men	Polling area - 7. Brønshøj	116	111	96	95	95
Denmark	50-54 years	Men	Polling area - 7. Nord	160	147	153	152	153
Denmark	50-54 years	Men	Polling area - 7. Syd	201	194	200	177	167
Denmark	50-54 years	Men	Polling area - 7. Øst	333	324	316	296	258
Denmark	50-54 years	Men	Polling area - 7. Vest	243	226	202	186	164
Denmark	50-54 years	Men	Polling area - 7. Nordvest	386	370	372	361	343
Denmark	50-54 years	Men	Polling area - 7. Katrinedal	122	112	107	93	94
Denmark	50-54 years	Men	Polling area - 7. Kirkebjerg	161	149	141	133	135
